Bank 22: [np.float32(0.013916016), np.float32(-0.0), np.float32(0.5), np.float32(-0.0), np.float32(0.59765625), np.float32(-0.0), np.float32(-0.0), np.float32(0.107910156), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 23: [np.float32(0.31835938), np.float32(0.22070312), np.float32(-0.0), np.float32(0.16601562), np.float32(0.012451172), np.float32(0.024169922), np.float32(0.44921875), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 24: [np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.3359375), np.float32(-0.0), np.float32(0.07763672), np.float32(-0.0), np.float32(0.3203125), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 25: [np.float32(0.053955078), np.float32(0.40039062), np.float32(0.27929688), np.float32(-0.0), np.float32(0.26171875), np.float32(-0.0), np.float32(0.099609375), np.float32(0.24511719), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 26: [np.float32(0.21191406), np.float32(0.296875), np.float32(0.49609375), np.float32(0.2265625), np.float32(0.029663086), np.float32(0.022827148), np.float32(0.3359375), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 27: [np.float32(0.01953125), np.float32(-0.0), np.float32(-0.0), np.float32(0.51171875), np.float32(-0.0), np.float32(0.39648438), np.float32(-0.0), np.float32(0.11767578), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 28: [np.float32(0.49414062), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.13867188), np.float32(0.104003906), np.float32(0.30078125), np.float32(0.14648438), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 29: [np.float32(-0.0), np.float32(-0.0), np.float32(0.010192871), np.float32(-0.0), np.float32(0.11669922), np.float32(0.32226562), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 30: [np.float32(-0.0), np.float32(0.203125), np.float32(-0.0), np.float32(0.032714844), np.float32(0.23632812), np.float32(0.06933594), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 31: [np.float32(0.12988281), np.float32(-0.0), np.float32(0.10253906), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.0), np.float32(0.06225586), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
