Bank 0: [np.float32(0.009687781), -0.13671875, 0.1181640625, 0.037353515625, 0.12060546875, 0.1376953125, -0.111328125, -0.061767578125, 0.10693359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 1: [np.float32(0.017145395), -0.10400390625, 0.0233154296875, 0.048583984375, -0.11572265625, -0.1357421875, -0.0198974609375, 0.09716796875, -0.095703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 2: [np.float32(-0.037644178), -0.1103515625, 0.15625, -0.0289306640625, -0.107421875, -0.031982421875, -0.00531005859375, 0.00616455078125, -0.1181640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 3: [np.float32(0.015378535), 0.0306396484375, -0.1484375, 0.0128173828125, 0.09814453125, 0.05517578125, -0.021240234375, -0.12060546875, 0.0230712890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 4: [np.float32(0.028859854), -0.068359375, -0.09765625, 0.08984375, 0.11376953125, 0.0029449462890625, 0.1201171875, -0.02880859375, -0.09619140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 5: [np.float32(-0.011429846), -0.011474609375, 0.10205078125, -0.12890625, 0.1015625, -0.154296875, -0.12158203125, 0.0081787109375, -0.11328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 6: [np.float32(-0.00909394), 0.0576171875, 0.1298828125, 0.01312255859375, 0.1025390625, -0.056640625, 0.052734375, -0.12158203125, 0.1044921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 7: [np.float32(0.047653437), -0.0537109375, 0.017333984375, 0.1025390625, 0.12353515625, -0.0184326171875, -0.03564453125, -0.02490234375, 0.016357421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 8: [np.float32(0.01143047), -0.000507354736328125, 0.11328125, 0.1083984375, 0.11669921875, -0.0286865234375, 0.046630859375, -0.0419921875, -0.0634765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 9: [np.float32(-0.012196049), 0.0074462890625, -0.019775390625, 0.0027313232421875, 0.0279541015625, -0.09423828125, 0.0537109375, 0.11474609375, -0.08740234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 10: [np.float32(0.01998204), 0.0296630859375, -0.006683349609375, 0.11962890625, 0.1376953125, 0.12451171875, 0.0220947265625, -0.07958984375, -0.044189453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 11: [np.float32(0.0017499924), 0.0810546875, 0.134765625, -0.12158203125, 0.09228515625, 0.04052734375, 0.053955078125, -0.130859375, -0.07666015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 12: [np.float32(-0.024406433), 0.076171875, 0.1259765625, -0.107421875, -0.10205078125, -0.049072265625, -0.0194091796875, -0.076171875, -0.057861328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 13: [np.float32(-0.015009403), -0.1220703125, -0.00543212890625, 0.06884765625, 0.06005859375, -0.07080078125, 0.0247802734375, 0.1474609375, -0.1357421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 14: [np.float32(-0.0069969893), -0.033935546875, 0.1162109375, 0.08837890625, 0.06787109375, 0.15625, -0.0634765625, 0.0205078125, -0.09326171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 15: [np.float32(0.02919221), -0.1552734375, 0.146484375, 0.03857421875, 0.044677734375, -0.0341796875, -0.07763671875, 0.11474609375, 0.0279541015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 16: [np.float32(0.024722576), 0.1064453125, 0.154296875, 0.08447265625, -0.09814453125, -0.08056640625, 0.10400390625, 0.0830078125, -0.05126953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 17: [np.float32(-0.054551244), -0.053955078125, 0.0830078125, 0.09130859375, 0.041748046875, 0.0035552978515625, 0.047607421875, 0.1376953125, -0.1240234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
