Bank 0: [0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0771484375, 0.0, 0.0032501220703125, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, 0.0, 0.0106201171875, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0]
Bank 1: [0.0, 0.025634765625, -0.0, -0.0, -0.0, 0.0296630859375, -0.0, -0.0, 0.0, -0.0, -0.0, 0.06640625, -0.0, -0.0, -0.0, 0.00946044921875, 0.0, -0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0]
Bank 2: [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0771484375, -0.0, 0.0032501220703125, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, -0.0, 0.0106201171875, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, -0.0]
Bank 3: [0.025634765625, -0.0, -0.0, -0.0, 0.0296630859375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.06640625, -0.0, -0.0, -0.0, 0.00946044921875, -0.0, -0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, -0.0]
Bank 4: [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0771484375, -0.0, 0.0, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, -0.0, 0.0, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, -0.0, 0.0]
Bank 5: [-0.0, -0.0, -0.0, 0.0296630859375, -0.0, -0.0, -0.0, 0.0, -0.0, 0.06640625, -0.0, -0.0, -0.0, 0.00946044921875, -0.0, 0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, -0.0, 0.0]
Bank 6: [0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0771484375, 0.0, 0.0032501220703125, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, 0.0, 0.0106201171875, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, 0.0, 0.1474609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.064453125]
Bank 7: [0.0, -0.0, -0.0, 0.06640625, -0.0, -0.0, -0.0, 0.00946044921875, 0.0, -0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, 0.0, -0.0, -0.0, 0.0206298828125, -0.0, -0.0, -0.0, 0.00531005859375]
Bank 8: [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0771484375, -0.0, 0.0032501220703125, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, -0.0, 0.0106201171875, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, -0.0, 0.1474609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.064453125, -0.0]
Bank 9: [-0.0, -0.0, 0.06640625, -0.0, -0.0, -0.0, 0.00946044921875, -0.0, -0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, -0.0, -0.0, -0.0, 0.0206298828125, -0.0, -0.0, -0.0, 0.00531005859375, -0.0]
Bank 10: [-0.0, -0.0, -0.0, -0.0, -0.0, 0.0771484375, -0.0, 0.0, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, -0.0, 0.0, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.064453125, -0.0, 0.0]
