Bank 0: [0.0, 0.03076171875, 0.02685546875, -0.0, 0.1650390625, -0.0, -0.0, 0.23828125, 0.0, 0.10107421875, 0.0286865234375, -0.0, -0.0, 0.251953125, 0.0654296875, 0.146484375, 0.0, -0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.0, 0.0145263671875, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375]
Bank 1: [0.0, -0.0, -0.0, 0.006256103515625, -0.0, -0.0, -0.0, 0.07763671875, 0.0, -0.0, 0.04296875, 0.0693359375, 0.09912109375, 0.1513671875, 0.1142578125, 0.1591796875, 0.0, -0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, 0.0, 0.087890625, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125]
Bank 2: [0.0, -0.0, 0.12890625, -0.0, -0.0, 0.0771484375, -0.0, -0.0, 0.0, -0.0, 0.024658203125, 0.027099609375, -0.0, -0.0, -0.0, -0.0, 0.0, 0.020263671875, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, 0.0, 0.12451171875, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125]
Bank 3: [0.03076171875, 0.02685546875, -0.0, 0.1650390625, -0.0, -0.0, 0.23828125, -0.0, 0.10107421875, 0.0286865234375, -0.0, -0.0, 0.251953125, 0.0654296875, 0.146484375, -0.0, -0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.043701171875, 0.0145263671875, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375, -0.0]
Bank 4: [-0.0, -0.0, 0.006256103515625, -0.0, -0.0, -0.0, 0.07763671875, -0.0, -0.0, 0.04296875, 0.0693359375, 0.09912109375, 0.1513671875, 0.1142578125, 0.1591796875, -0.0, -0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, -0.0, 0.087890625, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125, 0.0052490234375]
Bank 5: [-0.0, 0.12890625, -0.0, -0.0, 0.0771484375, -0.0, -0.0, 0.1611328125, -0.0, 0.024658203125, 0.027099609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.020263671875, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, -0.0, 0.12451171875, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125, -0.0]
Bank 6: [0.02685546875, -0.0, 0.1650390625, -0.0, -0.0, 0.23828125, -0.0, 0.0, 0.0286865234375, -0.0, -0.0, 0.251953125, 0.0654296875, 0.146484375, -0.0, 0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.043701171875, 0.0, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375, -0.0, 0.0]
Bank 7: [-0.0, 0.006256103515625, -0.0, -0.0, -0.0, 0.07763671875, -0.0, 0.0, 0.04296875, 0.0693359375, 0.09912109375, 0.1513671875, 0.1142578125, 0.1591796875, -0.0, 0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, -0.0, 0.0, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125, 0.0052490234375, 0.0]
Bank 8: [0.12890625, -0.0, -0.0, 0.0771484375, -0.0, -0.0, 0.1611328125, 0.0, 0.024658203125, 0.027099609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, -0.0, 0.0, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125, -0.0, 0.0]
Bank 9: [0.0, 0.10107421875, 0.0286865234375, -0.0, -0.0, 0.251953125, 0.0654296875, 0.146484375, 0.0, -0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.0, 0.0145263671875, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375, 0.0, -0.0, 0.16015625, 0.000736236572265625, 0.1787109375, 0.1494140625, -0.0, -0.0]
Bank 10: [0.0, -0.0, 0.04296875, 0.0693359375, 0.09912109375, 0.1513671875, 0.1142578125, 0.1591796875, 0.0, -0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, 0.0, 0.087890625, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125, 0.0, 0.035400390625, -0.0, -0.0, 0.271484375, -0.0, -0.0, 0.1376953125]
Bank 11: [0.0, -0.0, 0.024658203125, 0.027099609375, -0.0, -0.0, -0.0, -0.0, 0.0, 0.020263671875, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, 0.0, 0.12451171875, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125, 0.0, -0.0, 0.01373291015625, -0.0, 0.0159912109375, -0.0, 0.0196533203125, 0.0098876953125]
Bank 12: [0.10107421875, 0.0286865234375, -0.0, -0.0, 0.251953125, 0.0654296875, 0.146484375, -0.0, -0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.043701171875, 0.0145263671875, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375, -0.0, -0.0, 0.16015625, 0.000736236572265625, 0.1787109375, 0.1494140625, -0.0, -0.0, 0.07421875]
Bank 13: [-0.0, 0.04296875, 0.0693359375, 0.09912109375, 0.1513671875, 0.1142578125, 0.1591796875, -0.0, -0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, -0.0, 0.087890625, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125, 0.0052490234375, 0.035400390625, -0.0, -0.0, 0.271484375, -0.0, -0.0, 0.1376953125, -0.0]
Bank 14: [-0.0, 0.024658203125, 0.027099609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.020263671875, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, -0.0, 0.12451171875, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125, -0.0, -0.0, 0.01373291015625, -0.0, 0.0159912109375, -0.0, 0.0196533203125, 0.0098876953125, 0.032958984375]
Bank 15: [0.0286865234375, -0.0, -0.0, 0.251953125, 0.0654296875, 0.146484375, -0.0, 0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.043701171875, 0.0, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375, -0.0, 0.0, 0.16015625, 0.000736236572265625, 0.1787109375, 0.1494140625, -0.0, -0.0, 0.07421875, 0.0]
Bank 16: [0.04296875, 0.0693359375, 0.09912109375, 0.1513671875, 0.1142578125, 0.1591796875, -0.0, 0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, -0.0, 0.0, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125, 0.0052490234375, 0.0, -0.0, -0.0, 0.271484375, -0.0, -0.0, 0.1376953125, -0.0, 0.0]
Bank 17: [0.024658203125, 0.027099609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, -0.0, 0.0, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125, -0.0, 0.0, 0.01373291015625, -0.0, 0.0159912109375, -0.0, 0.0196533203125, 0.0098876953125, 0.032958984375, 0.0]
Bank 18: [0.0, -0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.0, 0.0145263671875, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375, 0.0, -0.0, 0.16015625, 0.000736236572265625, 0.1787109375, 0.1494140625, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 19: [0.0, -0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, 0.0, 0.087890625, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125, 0.0, 0.035400390625, -0.0, -0.0, 0.271484375, -0.0, -0.0, 0.1376953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 20: [0.0, 0.020263671875, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, 0.0, 0.12451171875, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125, 0.0, -0.0, 0.01373291015625, -0.0, 0.0159912109375, -0.0, 0.0196533203125, 0.0098876953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 21: [-0.0, -0.0, 0.142578125, 0.1669921875, 0.068359375, 0.0179443359375, 0.034912109375, 0.043701171875, 0.0145263671875, 0.1015625, -0.0, 0.1337890625, -0.0, 0.1328125, 0.18359375, -0.0, -0.0, 0.16015625, 0.000736236572265625, 0.1787109375, 0.1494140625, -0.0, -0.0, 0.07421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 22: [-0.0, 0.26953125, -0.0, 0.095703125, 0.06884765625, -0.0, 0.047119140625, -0.0, 0.087890625, -0.0, 0.13671875, 0.09130859375, 0.0069580078125, 0.08251953125, 0.0118408203125, 0.0052490234375, 0.035400390625, -0.0, -0.0, 0.271484375, -0.0, -0.0, 0.1376953125, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 23: [0.020263671875, -0.0, 0.029541015625, 0.0184326171875, -0.0, 0.0908203125, -0.0, -0.0, 0.12451171875, 0.07470703125, 0.00372314453125, 0.00372314453125, 0.11572265625, -0.0, 0.1142578125, -0.0, -0.0, 0.01373291015625, -0.0, 0.0159912109375, -0.0, 0.0196533203125, 0.0098876953125, 0.032958984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
